brand	model	size	color	lobes	weight	strength	lower	upper	range	usable_lower	usable_upper
Metolius	Master	1	blue	4	68.04	8	12.45	18.03	5.58	13.008	15.798
Metolius	Master	2	yellow	4	70.87	10	15.75	22.6	6.85	16.435	19.86
Metolius	Master	3	orange	4	82.21	10	18.8	26.42	7.62	19.562	23.372
Metolius	Master	4	red	4	90.72	10	23.62	33.53	9.91	24.611	29.566
Metolius	Master	5	black	4	99.22	10	27.69	39.62	11.93	28.883	34.848
Metolius	Master	6	green	4	110.56	10	32.51	48.01	15.5	34.06	41.81
Metolius	Supercam	small	grey	4	184.27	12	41.91	63.5	21.59	44.069	54.864
Metolius	Supercam	medium	maroon	4	255.15	12	52.58	91.44	38.86	56.466	75.896
Metolius	Supercam	large	dark blue	4	311.84	12	66.55	118.62	52.07	71.757	97.792
DMM	Dragon	00	blue	4	75	9	13.6	22.5	8.9	14.49	18.94
DMM	Dragon	0	silver	4	85	12	16	26.7	10.7	17.07	22.42
DMM	Dragon	1	purple	4	97	14	20	33	13	21.3	27.8
DMM	Dragon	2	green	4	106	14	24	41	17	25.7	34.2
DMM	Dragon	3	red	4	119	14	29	50	21	31.1	41.6
DMM	Dragon	4	gold	4	148	14	38	64	26	40.6	53.6
DMM	Dragon	5	blue	4	195	14	50	85	35	53.5	71
DMM	Dragon	6	silver	4	276	14	68	114	46	72.6	95.6
DMM	3CU	0	blue	3	74	12/14	13	19	6	13.6	16.6
DMM	3CU	0.5	red	3	80	12/14	17	24	7	17.7	21.2
DMM	3CU	1	gold	3	84	12/14	19	29	10	20	25
DMM	3CU	1.25	purple	3	87	12/14	21	33	12	22.2	28.2
DMM	3CU	1.5	silver	3	88	12/14	23	35	12	24.2	30.2
DMM	3CU	1.75	green	3	90	12/14	25	41	16	26.6	34.6
DMM	4CU	0	blue	4	75	12/14	13	19	6	13.6	16.6
DMM	4CU	0.5	red	4	80	12/14	17	24	7	17.7	21.2
DMM	4CU	1	gold	4	93	12/14	19	29	10	20	25
DMM	4CU	1.25	purple	4	96	12/14	21	33	12	22.2	28.2
DMM	4CU	1.5	silver	4	97	12/14	23	35	12	24.2	30.2
DMM	4CU	1.75	green	4	99	12/14	25	41	16	26.6	34.6
DMM	4CU	2	red	4	110	12/14	29	44	15	30.5	38
DMM	4CU	2.5	gold	4	123	12/14	33	55	22	35.2	46.2
DMM	4CU	3	purple	4	151	12/14	43	66	23	45.3	56.8
DMM	4CU	3.5	blue	4	185	12/14	51	82	31	54.1	69.6
DMM	4CU	4	silver	4	224	12/14	64	100	36	67.6	85.6
DMM	Demon	0	blue	4	84	14	13	19	6	13.6	16.6
DMM	Demon	0.5	red	4	90	14	17	24	7	17.7	21.2
DMM	Demon	1	gold	4	97	14	19	29	10	20	25
DMM	Demon	1.5	silver	4	101	14	23	35	12	24.2	30.2
DMM	Demon	2	red	4	113	14	29	44	15	30.5	38
DMM	Demon	2.5	gold	4	127	14	33	55	22	35.2	46.2
DMM	Demon	3	purple	4	154	14	43	66	23	45.3	56.8
DMM	Demon	3.5	blue	4	181	14	51	82	31	54.1	69.6
DMM	Demon	4	silver	4	221	14	64	100	36	67.6	85.6
